failed to get console mode for stdout: The handle is invalid.
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;LENGTH(return.policies.cancellation.type)==9;daikon.inv.unary.string.FixedLengthString;(return.policies.cancellation.type)
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;return.policies.cancellation.amount is Numeric;daikon.inv.unary.string.IsNumeric;(return.policies.cancellation.amount)
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;return.policies.cancellation.numberOfNights >= 1;daikon.inv.unary.scalar.LowerBound;(return.policies.cancellation.numberOfNights)
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;LENGTH(return.policies.cancellation.deadline)==25;daikon.inv.unary.string.FixedLengthString;(return.policies.cancellation.deadline)
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;return.policies.cancellation.description.text one of { "NON-REFUNDABLE RATE", "Non refundable rate", "Plus Taxes and fees where appropriate." };daikon.inv.unary.string.OneOfString;(return.policies.cancellation.description.text)
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;return.policies.cancellation.description.lang == "EN";daikon.inv.unary.string.OneOfString;(return.policies.cancellation.description.lang)
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;LENGTH(return.policies.cancellation.description.lang)==2;daikon.inv.unary.string.FixedLengthString;(return.policies.cancellation.description.lang)
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;return.policies.checkInOut == null;daikon.inv.unary.scalar.OneOfScalar;(return.policies.checkInOut)
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;return.policies.checkInOut.checkInDescription == null;daikon.inv.unary.scalar.OneOfScalar;(return.policies.checkInOut.checkInDescription)
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;return.policies.checkInOut.checkOutDescription == null;daikon.inv.unary.scalar.OneOfScalar;(return.policies.checkInOut.checkOutDescription)
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;return.self is Url;daikon.inv.unary.string.IsUrl;(return.self)
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;size(input.hotelIds[]) >= 1;daikon.inv.unary.scalar.LowerBound;(size(input.hotelIds[..]))
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;size(return.price.taxes[]) one of { 1, 2, 3 };daikon.inv.unary.scalar.OneOfScalar;(size(return.price.taxes[..]))
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;size(return.price.variations.changes[]) >= 1;daikon.inv.unary.scalar.LowerBound;(size(return.price.variations.changes[..]))
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;size(return.policies.guarantee.acceptedPayments.methods[]) one of { 1, 2, 3 };daikon.inv.unary.scalar.OneOfScalar;(size(return.policies.guarantee.acceptedPayments.methods[..]))
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;size(return.policies.deposit.acceptedPayments.methods[]) one of { 1, 2 };daikon.inv.unary.scalar.OneOfScalar;(size(return.policies.deposit.acceptedPayments.methods[..]))
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;input.checkInDate is a substring of return.policies.holdTime.deadline;daikon.inv.binary.twoString.StdString$SubString;(input.checkInDate, return.policies.holdTime.deadline)
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;input.lang is a substring of return.self;daikon.inv.binary.twoString.StdString$SubString;(input.lang, return.self)
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;return.id is a substring of return.self;daikon.inv.binary.twoString.StdString$SubString;(return.id, return.self)
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;return.checkInDate is a substring of return.policies.holdTime.deadline;daikon.inv.binary.twoString.StdString$SubString;(return.checkInDate, return.policies.holdTime.deadline)
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT;return.policies.cancellation.numberOfNights >= size(return.policies.guarantee.acceptedPayments.methods[]);daikon.inv.binary.twoScalar.IntGreaterEqual;(return.policies.cancellation.numberOfNights, size(return.policies.guarantee.acceptedPayments.methods[..]))
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::ENTER;size(input.hotelIds[]) >= 1;daikon.inv.unary.scalar.LowerBound;(size(input.hotelIds[..]))
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT;return.type == "hotel-offers";daikon.inv.unary.string.OneOfString;(return.type)
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT;LENGTH(return.type)==12;daikon.inv.unary.string.FixedLengthString;(return.type)
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT;return.self is Url;daikon.inv.unary.string.IsUrl;(return.self)
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT;LENGTH(return.hotel.hotelId)==8;daikon.inv.unary.string.FixedLengthString;(return.hotel.hotelId)
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT;LENGTH(return.hotel.chainCode)==2;daikon.inv.unary.string.FixedLengthString;(return.hotel.chainCode)
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT;LENGTH(return.hotel.dupeId)==9;daikon.inv.unary.string.FixedLengthString;(return.hotel.dupeId)
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT;return.hotel.dupeId is Numeric;daikon.inv.unary.string.IsNumeric;(return.hotel.dupeId)
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT;LENGTH(return.hotel.cityCode)==3;daikon.inv.unary.string.FixedLengthString;(return.hotel.cityCode)
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT;return.hotel.type == "hotel";daikon.inv.unary.string.OneOfString;(return.hotel.type)
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT;LENGTH(return.hotel.type)==5;daikon.inv.unary.string.FixedLengthString;(return.hotel.type)
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT;size(input.hotelIds[]) >= 1;daikon.inv.unary.scalar.LowerBound;(size(input.hotelIds[..]))
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT;size(return.offers[]) >= 1;daikon.inv.unary.scalar.LowerBound;(size(return.offers[..]))
